id,benchmark_name,test_case,value,lowerBound,upperBound,ci,platform,commit,source
67,Subscriber construction,Transform subsriber to dynamic,84.051,83.6429,85.3333,0.95,Windows MSVC,enable buildcache fo... (2d81bf76),rpp
68,Observable subscribe,Specific observable subscribe specific observer,110.434,109.739,111.836,0.95,Windows MSVC,enable buildcache fo... (2d81bf76),rpp
69,Observable subscribe,Specific observable subscribe dynamic observer,123.623,123.347,124.307,0.95,Windows MSVC,enable buildcache fo... (2d81bf76),rpp
70,Observable subscribe,Dynamic observable subscribe specific observer,195.258,194.562,197.219,0.95,Windows MSVC,enable buildcache fo... (2d81bf76),rpp
71,Observable subscribe,Dynamic observable subscribe dynamic observer,127.923,127.585,128.636,0.95,Windows MSVC,enable buildcache fo... (2d81bf76),rpp
72,Observable lift,Specific observable lift specific observer,146.74,146.396,147.71,0.95,Windows MSVC,enable buildcache fo... (2d81bf76),rpp
73,Observable lift,Specific observable lift dynamic observer,175.22,174.83,176.085,0.95,Windows MSVC,enable buildcache fo... (2d81bf76),rpp
74,Observable lift,Dynamic observable lift specific observer,249.571,248.143,252.837,0.95,Windows MSVC,enable buildcache fo... (2d81bf76),rpp
75,Observable lift,Dynamic observable lift dynamic observer,221.938,221.292,223.504,0.95,Windows MSVC,enable buildcache fo... (2d81bf76),rpp
76,Observable construction,Specific observable construction,0.607381,0.583,0.652021,0.95,Linux GCC,enable buildcache fo... (2d81bf76),rpp
77,Observable construction,Dynamic observable construction,16.187,15.6217,17.2703,0.95,Linux GCC,enable buildcache fo... (2d81bf76),rpp
78,Observable construction,Specific observable construction + as_dynamic,16.5932,15.867,18.9438,0.95,Linux GCC,enable buildcache fo... (2d81bf76),rpp
79,Observer construction,Specific observer construction,0.636245,0.606383,0.683806,0.95,Linux GCC,enable buildcache fo... (2d81bf76),rpp
80,Observer construction,Dynamic observer construction,19.8132,18.6374,21.4603,0.95,Linux GCC,enable buildcache fo... (2d81bf76),rpp
81,Observer construction,Specific observer construction + as_dynamic,15.4232,15.307,15.8697,0.95,Linux GCC,enable buildcache fo... (2d81bf76),rpp
