id,benchmark_name,test_case,value,lowerBound,upperBound,ci,platform,commit,source
9707,Observable subscribe #2,Specific observable subscribe dynamic observer,8.03158,7.95368,8.18307,0.95,Linux GCC,Try to provide abili... (1ddd1709),rpp
9708,Observable subscribe #2,Dynamic observable subscribe dynamic observer,10.4692,10.4442,10.5546,0.95,Linux GCC,Try to provide abili... (1ddd1709),rpp
9709,Observer construction,Specific observer construction,0.807948,0.804383,0.816136,0.95,Linux GCC,Try to provide abili... (1ddd1709),rpp
9710,Observer construction,Dynamic observer construction,25.4911,25.3828,25.7348,0.95,Linux GCC,Try to provide abili... (1ddd1709),rpp
9711,Observer construction,Specific observer construction + as_dynamic,24.012,23.776,24.4289,0.95,Linux GCC,Try to provide abili... (1ddd1709),rpp
9712,OnNext,Specific observer OnNext,0.402942,0.401978,0.406023,0.95,Linux GCC,Try to provide abili... (1ddd1709),rpp
9713,OnNext,Dynamic observer OnNext,2.00739,2.00676,2.00801,0.95,Linux GCC,Try to provide abili... (1ddd1709),rpp
9714,Subscriber construction,Make subsriber,29.0403,28.8197,29.6131,0.95,Linux GCC,Try to provide abili... (1ddd1709),rpp
9715,Subscriber construction,Make copy of subscriber,4.48788,4.4512,4.57544,0.95,Linux GCC,Try to provide abili... (1ddd1709),rpp
9716,Subscriber construction,Transform subsriber to dynamic,28.7005,28.5214,28.9463,0.95,Linux GCC,Try to provide abili... (1ddd1709),rpp
9717,Observable subscribe,Specific observable subscribe specific observer,35.2327,34.9669,35.9135,0.95,Linux GCC,Try to provide abili... (1ddd1709),rpp
9718,Observable subscribe,Specific observable subscribe dynamic observer,44.341,44.1596,44.5933,0.95,Linux GCC,Try to provide abili... (1ddd1709),rpp
9719,Observable subscribe,Dynamic observable subscribe specific observer,67.3589,67.0598,67.9857,0.95,Linux GCC,Try to provide abili... (1ddd1709),rpp
9720,Observable subscribe,Dynamic observable subscribe dynamic observer,44.1203,44.0902,44.1564,0.95,Linux GCC,Try to provide abili... (1ddd1709),rpp
9721,Observable lift,Specific observable lift specific observer,41.4373,40.9643,42.312,0.95,Linux GCC,Try to provide abili... (1ddd1709),rpp
9722,Observable lift,Specific observable lift dynamic observer,51.7192,51.5519,52.0763,0.95,Linux GCC,Try to provide abili... (1ddd1709),rpp
9723,Observable lift,Dynamic observable lift specific observer,84.7956,84.2582,85.742,0.95,Linux GCC,Try to provide abili... (1ddd1709),rpp
9724,Observable lift,Dynamic observable lift dynamic observer,71.2659,71.0428,71.6962,0.95,Linux GCC,Try to provide abili... (1ddd1709),rpp
9725,Subscription,composite_subscription create,27.1529,27.0534,27.4025,0.95,Linux GCC,Try to provide abili... (1ddd1709),rpp
9726,Subscription,composite_subscription add,1202.26,21.1691,7081.39,0.95,Linux GCC,Try to provide abili... (1ddd1709),rpp
9727,Subscription,composite_subscription unsubscribe,8.31027,8.26672,8.35567,0.95,Linux GCC,Try to provide abili... (1ddd1709),rpp
9728,Observable construction,Specific observable construction,0.40411,0.402705,0.407033,0.95,Linux GCC,Try to provide abili... (1ddd1709),rxcpp
9729,Observable construction,Specific observable construction + as_dynamic,32.6509,32.561,32.8646,0.95,Linux GCC,Try to provide abili... (1ddd1709),rxcpp
9730,Observable subscribe #2,Specific observable subscribe lambda,336.25,335.985,336.787,0.95,Linux GCC,Try to provide abili... (1ddd1709),rxcpp
9731,Observable subscribe #2,Dynamic observable subscribe lambda,409.256,407.982,412.257,0.95,Linux GCC,Try to provide abili... (1ddd1709),rxcpp
9732,Observable subscribe #2,Specific observable subscribe specific subscriber,339.224,338.596,341.376,0.95,Linux GCC,Try to provide abili... (1ddd1709),rxcpp
9733,Observable subscribe #2,Dynamic observable subscribe specific subscriber,419.206,418.336,422.159,0.95,Linux GCC,Try to provide abili... (1ddd1709),rxcpp
9734,Observable subscribe #2,Specific observable subscribe dynamic observer,358.855,358.225,360.895,0.95,Linux GCC,Try to provide abili... (1ddd1709),rxcpp
9735,Observable subscribe #2,Dynamic observable subscribe dynamic observer,378.131,377.5,380.648,0.95,Linux GCC,Try to provide abili... (1ddd1709),rxcpp
9736,Observer construction,Specific observer construction,0.403906,0.402236,0.407606,0.95,Linux GCC,Try to provide abili... (1ddd1709),rxcpp
9737,Observer construction,Dynamic observer construction,27.0341,26.9704,27.2207,0.95,Linux GCC,Try to provide abili... (1ddd1709),rxcpp
9738,Observer construction,Specific observer construction + as_dynamic,26.6937,26.5026,27.1326,0.95,Linux GCC,Try to provide abili... (1ddd1709),rxcpp
9739,OnNext,Specific observer OnNext,0.405078,0.401215,0.412454,0.95,Linux GCC,Try to provide abili... (1ddd1709),rxcpp
9740,OnNext,Dynamic observer OnNext,2.41127,2.38797,2.45707,0.95,Linux GCC,Try to provide abili... (1ddd1709),rxcpp
9741,Subscriber construction,Make subsriber,70.8829,70.684,71.3161,0.95,Linux GCC,Try to provide abili... (1ddd1709),rxcpp
9742,Subscriber construction,Make copy of subscriber,5.39451,5.38106,5.45435,0.95,Linux GCC,Try to provide abili... (1ddd1709),rxcpp
9743,Subscriber construction,Transform subsriber to dynamic,35.9712,35.5728,36.6871,0.95,Linux GCC,Try to provide abili... (1ddd1709),rxcpp
9744,Observable subscribe,Specific observable subscribe specific observer,400.556,400.197,401.353,0.95,Linux GCC,Try to provide abili... (1ddd1709),rxcpp
9745,Observable subscribe,Specific observable subscribe dynamic observer,423.559,422.5,427.701,0.95,Linux GCC,Try to provide abili... (1ddd1709),rxcpp
9746,Observable subscribe,Dynamic observable subscribe specific observer,457.811,451.952,464.759,0.95,Linux GCC,Try to provide abili... (1ddd1709),rxcpp
9747,Observable subscribe,Dynamic observable subscribe dynamic observer,439.993,431.561,455.797,0.95,Linux GCC,Try to provide abili... (1ddd1709),rxcpp
9748,Observable lift,Specific observable lift specific observer,421.832,417.703,430.506,0.95,Linux GCC,Try to provide abili... (1ddd1709),rxcpp
9749,Observable lift,Specific observable lift dynamic observer,447.219,442.593,456.107,0.95,Linux GCC,Try to provide abili... (1ddd1709),rxcpp
9750,Observable lift,Dynamic observable lift specific observer,501.199,493.664,513.515,0.95,Linux GCC,Try to provide abili... (1ddd1709),rxcpp
9751,Observable lift,Dynamic observable lift dynamic observer,461.466,455.624,472.085,0.95,Linux GCC,Try to provide abili... (1ddd1709),rxcpp
9752,Subscription,composite_subscription create,64.8185,64.6711,65.2276,0.95,Linux GCC,Try to provide abili... (1ddd1709),rxcpp
9753,Subscription,composite_subscription add,20.6998,20.5448,21.0959,0.95,Linux GCC,Try to provide abili... (1ddd1709),rxcpp
9754,Subscription,composite_subscription unsubscribe,13.294,13.2587,13.3772,0.95,Linux GCC,Try to provide abili... (1ddd1709),rxcpp
9755,Observable construction,Specific observable construction,0.887962,0.885494,0.899735,0.95,Linux CLANG,Try to provide abili... (1ddd1709),rpp
9756,Observable construction,Dynamic observable construction,25.1194,25.1071,25.1487,0.95,Linux CLANG,Try to provide abili... (1ddd1709),rpp
9757,Observable construction,Specific observable construction + as_dynamic,25.1137,25.0664,25.3084,0.95,Linux CLANG,Try to provide abili... (1ddd1709),rpp
9758,Observable subscribe #2,Specific observable subscribe lambda,31.6037,31.5443,31.8828,0.95,Linux CLANG,Try to provide abili... (1ddd1709),rpp
9759,Observable subscribe #2,Dynamic observable subscribe lambda,57.531,57.5159,57.5548,0.95,Linux CLANG,Try to provide abili... (1ddd1709),rpp
9760,Observable subscribe #2,Specific observable subscribe specific subscriber,15.8576,15.8325,15.9692,0.95,Linux CLANG,Try to provide abili... (1ddd1709),rpp
9761,Observable subscribe #2,Dynamic observable subscribe specific subscriber,58.2246,58.1005,58.7334,0.95,Linux CLANG,Try to provide abili... (1ddd1709),rpp
9762,Observable subscribe #2,Specific observable subscribe dynamic observer,16.807,16.8001,16.814,0.95,Linux CLANG,Try to provide abili... (1ddd1709),rpp
9763,Observable subscribe #2,Dynamic observable subscribe dynamic observer,17.1542,17.113,17.3095,0.95,Linux CLANG,Try to provide abili... (1ddd1709),rpp
9764,Observer construction,Specific observer construction,0.885238,0.884904,0.885638,0.95,Linux CLANG,Try to provide abili... (1ddd1709),rpp
9765,Observer construction,Dynamic observer construction,25.1411,25.1005,25.3027,0.95,Linux CLANG,Try to provide abili... (1ddd1709),rpp
9766,Observer construction,Specific observer construction + as_dynamic,25.1109,25.0949,25.1581,0.95,Linux CLANG,Try to provide abili... (1ddd1709),rpp
9767,OnNext,Specific observer OnNext,0.590012,0.589789,0.590256,0.95,Linux CLANG,Try to provide abili... (1ddd1709),rpp
9768,OnNext,Dynamic observer OnNext,1.47534,1.47478,1.4759,0.95,Linux CLANG,Try to provide abili... (1ddd1709),rpp
9769,Subscriber construction,Make subsriber,41.6149,41.5945,41.651,0.95,Linux CLANG,Try to provide abili... (1ddd1709),rpp
9770,Subscriber construction,Make copy of subscriber,15.0427,15.037,15.0495,0.95,Linux CLANG,Try to provide abili... (1ddd1709),rpp
9771,Subscriber construction,Transform subsriber to dynamic,42.5173,42.5012,42.5381,0.95,Linux CLANG,Try to provide abili... (1ddd1709),rpp
9772,Observable subscribe,Specific observable subscribe specific observer,59.8513,59.8074,59.9436,0.95,Linux CLANG,Try to provide abili... (1ddd1709),rpp
9773,Observable subscribe,Specific observable subscribe dynamic observer,71.3887,71.2462,72.0538,0.95,Linux CLANG,Try to provide abili... (1ddd1709),rpp
9774,Observable subscribe,Dynamic observable subscribe specific observer,87.3623,87.0718,88.5492,0.95,Linux CLANG,Try to provide abili... (1ddd1709),rpp
9775,Observable subscribe,Dynamic observable subscribe dynamic observer,71.9213,71.7596,72.5338,0.95,Linux CLANG,Try to provide abili... (1ddd1709),rpp
9776,Observable lift,Specific observable lift specific observer,87.2233,86.7298,89.6122,0.95,Linux CLANG,Try to provide abili... (1ddd1709),rpp
9777,Observable lift,Specific observable lift dynamic observer,111.423,111.386,111.46,0.95,Linux CLANG,Try to provide abili... (1ddd1709),rpp
9778,Observable lift,Dynamic observable lift specific observer,133.835,133.593,134.658,0.95,Linux CLANG,Try to provide abili... (1ddd1709),rpp
9779,Observable lift,Dynamic observable lift dynamic observer,151.609,151.367,152.687,0.95,Linux CLANG,Try to provide abili... (1ddd1709),rpp
9780,Subscription,composite_subscription create,27.1876,27.1416,27.3515,0.95,Linux CLANG,Try to provide abili... (1ddd1709),rpp
9781,Subscription,composite_subscription add,2180.01,35.6773,12855.1,0.95,Linux CLANG,Try to provide abili... (1ddd1709),rpp
9782,Subscription,composite_subscription unsubscribe,7.3738,7.37073,7.37714,0.95,Linux CLANG,Try to provide abili... (1ddd1709),rpp
9783,Observable construction,Specific observable construction,0.590938,0.590022,0.594564,0.95,Linux CLANG,Try to provide abili... (1ddd1709),rxcpp
9784,Observable construction,Specific observable construction + as_dynamic,23.8153,23.7801,23.9551,0.95,Linux CLANG,Try to provide abili... (1ddd1709),rxcpp
9785,Observable subscribe #2,Specific observable subscribe lambda,206.522,206.127,207.987,0.95,Linux CLANG,Try to provide abili... (1ddd1709),rxcpp
9786,Observable subscribe #2,Dynamic observable subscribe lambda,261.877,261.022,265.664,0.95,Linux CLANG,Try to provide abili... (1ddd1709),rxcpp
9787,Observable subscribe #2,Specific observable subscribe specific subscriber,204.26,204.078,204.791,0.95,Linux CLANG,Try to provide abili... (1ddd1709),rxcpp
9788,Observable subscribe #2,Dynamic observable subscribe specific subscriber,247.911,247.425,249.489,0.95,Linux CLANG,Try to provide abili... (1ddd1709),rxcpp
9789,Observable subscribe #2,Specific observable subscribe dynamic observer,225.753,225.577,226.044,0.95,Linux CLANG,Try to provide abili... (1ddd1709),rxcpp
9790,Observable subscribe #2,Dynamic observable subscribe dynamic observer,239.807,239.093,242.763,0.95,Linux CLANG,Try to provide abili... (1ddd1709),rxcpp
9791,Observer construction,Specific observer construction,0.592938,0.587048,0.607854,0.95,Linux CLANG,Try to provide abili... (1ddd1709),rxcpp
9792,Observer construction,Dynamic observer construction,20.4022,20.3447,20.4567,0.95,Linux CLANG,Try to provide abili... (1ddd1709),rxcpp
9793,Observer construction,Specific observer construction + as_dynamic,19.5239,19.4562,19.7263,0.95,Linux CLANG,Try to provide abili... (1ddd1709),rxcpp
9794,OnNext,Specific observer OnNext,0.590517,0.590247,0.590987,0.95,Linux CLANG,Try to provide abili... (1ddd1709),rxcpp
9795,OnNext,Dynamic observer OnNext,2.06931,2.0661,2.08201,0.95,Linux CLANG,Try to provide abili... (1ddd1709),rxcpp
9796,Subscriber construction,Make subsriber,56.9186,56.8732,57.0093,0.95,Linux CLANG,Try to provide abili... (1ddd1709),rxcpp
9797,Subscriber construction,Make copy of subscriber,4.15254,4.14718,4.15806,0.95,Linux CLANG,Try to provide abili... (1ddd1709),rxcpp
9798,Subscriber construction,Transform subsriber to dynamic,24.552,24.5108,24.6837,0.95,Linux CLANG,Try to provide abili... (1ddd1709),rxcpp
9799,Observable subscribe,Specific observable subscribe specific observer,262.304,261.653,264.78,0.95,Linux CLANG,Try to provide abili... (1ddd1709),rxcpp
9800,Observable subscribe,Specific observable subscribe dynamic observer,278.086,276.87,281.921,0.95,Linux CLANG,Try to provide abili... (1ddd1709),rxcpp
9801,Observable subscribe,Dynamic observable subscribe specific observer,302.356,302.004,303.344,0.95,Linux CLANG,Try to provide abili... (1ddd1709),rxcpp
9802,Observable subscribe,Dynamic observable subscribe dynamic observer,300.123,299.895,300.471,0.95,Linux CLANG,Try to provide abili... (1ddd1709),rxcpp
9803,Observable lift,Specific observable lift specific observer,264.435,263.954,266.062,0.95,Linux CLANG,Try to provide abili... (1ddd1709),rxcpp
9804,Observable lift,Specific observable lift dynamic observer,301.936,301.363,303.7,0.95,Linux CLANG,Try to provide abili... (1ddd1709),rxcpp
9805,Observable lift,Dynamic observable lift specific observer,310.486,310.193,311.146,0.95,Linux CLANG,Try to provide abili... (1ddd1709),rxcpp
9806,Observable lift,Dynamic observable lift dynamic observer,299.374,298.34,302.094,0.95,Linux CLANG,Try to provide abili... (1ddd1709),rxcpp
9807,Subscription,composite_subscription create,49.2332,49.1602,49.3235,0.95,Linux CLANG,Try to provide abili... (1ddd1709),rxcpp
9808,Subscription,composite_subscription add,18.5536,18.5219,18.7032,0.95,Linux CLANG,Try to provide abili... (1ddd1709),rxcpp
9809,Subscription,composite_subscription unsubscribe,8.55432,8.55076,8.55789,0.95,Linux CLANG,Try to provide abili... (1ddd1709),rxcpp
9810,Observable construction,Specific observable construction,0.678712,0.671746,0.696512,0.95,Windows MSVC,one more bench (7aaede53),rpp
9811,Observable construction,Dynamic observable construction,72.4086,71.8804,73.7508,0.95,Windows MSVC,one more bench (7aaede53),rpp
9812,Observable construction,Specific observable construction + as_dynamic,81.0863,80.5208,82.6006,0.95,Windows MSVC,one more bench (7aaede53),rpp
9813,Observable subscribe #2,Specific observable subscribe lambda,30.7688,30.6802,31.0,0.95,Windows MSVC,one more bench (7aaede53),rpp
9814,Observable subscribe #2,Dynamic observable subscribe lambda,117.289,116.845,118.196,0.95,Windows MSVC,one more bench (7aaede53),rpp
9815,Observable subscribe #2,Specific observable subscribe specific subscriber,19.0979,19.0589,19.1879,0.95,Windows MSVC,one more bench (7aaede53),rpp
9816,Observable subscribe #2,Dynamic observable subscribe specific subscriber,116.739,116.236,117.96,0.95,Windows MSVC,one more bench (7aaede53),rpp
9817,Observable subscribe #2,Specific observable subscribe dynamic observer,19.5379,19.4353,19.7733,0.95,Windows MSVC,one more bench (7aaede53),rpp
9818,Observable subscribe #2,Dynamic observable subscribe dynamic observer,17.8412,17.7098,18.2644,0.95,Windows MSVC,one more bench (7aaede53),rpp
9819,Observer construction,Specific observer construction,0.672044,0.669095,0.679416,0.95,Windows MSVC,one more bench (7aaede53),rpp
9820,Observer construction,Dynamic observer construction,82.4532,81.9173,83.8201,0.95,Windows MSVC,one more bench (7aaede53),rpp
9821,Observer construction,Specific observer construction + as_dynamic,85.8669,83.4424,90.1295,0.95,Windows MSVC,one more bench (7aaede53),rpp
9822,OnNext,Specific observer OnNext,0.670456,0.668972,0.674226,0.95,Windows MSVC,one more bench (7aaede53),rpp
9823,OnNext,Dynamic observer OnNext,2.01663,2.00792,2.03878,0.95,Windows MSVC,one more bench (7aaede53),rpp
9824,Subscriber construction,Make subsriber,101.098,100.738,102.107,0.95,Windows MSVC,one more bench (7aaede53),rpp
9825,Subscriber construction,Make copy of subscriber,16.7478,16.7145,16.8336,0.95,Windows MSVC,one more bench (7aaede53),rpp
9826,Subscriber construction,Transform subsriber to dynamic,99.7948,97.5459,106.057,0.95,Windows MSVC,one more bench (7aaede53),rpp
9827,Observable subscribe,Specific observable subscribe specific observer,108.184,107.711,109.289,0.95,Windows MSVC,one more bench (7aaede53),rpp
9828,Observable subscribe,Specific observable subscribe dynamic observer,133.087,132.282,134.672,0.95,Windows MSVC,one more bench (7aaede53),rpp
9829,Observable subscribe,Dynamic observable subscribe specific observer,180.807,179.947,183.728,0.95,Windows MSVC,one more bench (7aaede53),rpp
9830,Observable subscribe,Dynamic observable subscribe dynamic observer,135.833,135.183,137.328,0.95,Windows MSVC,one more bench (7aaede53),rpp
9831,Observable lift,Specific observable lift specific observer,162.671,161.727,164.522,0.95,Windows MSVC,one more bench (7aaede53),rpp
9832,Observable lift,Specific observable lift dynamic observer,161.683,161.04,163.151,0.95,Windows MSVC,one more bench (7aaede53),rpp
9833,Observable lift,Dynamic observable lift specific observer,235.618,234.989,237.011,0.95,Windows MSVC,one more bench (7aaede53),rpp
9834,Observable lift,Dynamic observable lift dynamic observer,208.162,201.808,219.071,0.95,Windows MSVC,one more bench (7aaede53),rpp
9835,Operators,map construction from observable via dot + subscribe,88.6719,88.3789,89.2227,0.95,Windows MSVC,one more bench (7aaede53),rpp
9836,Subscription,composite_subscription create,90.9402,89.2271,95.6892,0.95,Windows MSVC,one more bench (7aaede53),rpp
9837,Subscription,composite_subscription add,39.677,38.5664,41.8761,0.95,Windows MSVC,one more bench (7aaede53),rpp
9838,Subscription,composite_subscription unsubscribe,8.36138,8.35034,8.40172,0.95,Windows MSVC,one more bench (7aaede53),rpp
9839,Observable construction,Specific observable construction,0.671435,0.668926,0.677893,0.95,Windows MSVC,one more bench (7aaede53),rxcpp
9840,Observable construction,Specific observable construction + as_dynamic,126.125,125.445,127.405,0.95,Windows MSVC,one more bench (7aaede53),rxcpp
9841,Observable subscribe #2,Specific observable subscribe lambda,873.2,867.133,895.5,0.95,Windows MSVC,one more bench (7aaede53),rxcpp
9842,Observable subscribe #2,Dynamic observable subscribe lambda,1059.28,1048.6,1094.96,0.95,Windows MSVC,one more bench (7aaede53),rxcpp
9843,Observable subscribe #2,Specific observable subscribe specific subscriber,872.267,866.8,891.667,0.95,Windows MSVC,one more bench (7aaede53),rxcpp
9844,Observable subscribe #2,Dynamic observable subscribe specific subscriber,1053.64,1045.76,1085.36,0.95,Windows MSVC,one more bench (7aaede53),rxcpp
9845,Observable subscribe #2,Specific observable subscribe dynamic observer,897.414,891.276,922.552,0.95,Windows MSVC,one more bench (7aaede53),rxcpp
9846,Observable subscribe #2,Dynamic observable subscribe dynamic observer,928.75,924.964,937.571,0.95,Windows MSVC,one more bench (7aaede53),rxcpp
9847,Observer construction,Specific observer construction,0.672993,0.66991,0.680223,0.95,Windows MSVC,one more bench (7aaede53),rxcpp
9848,Observer construction,Dynamic observer construction,116.664,116.295,117.594,0.95,Windows MSVC,one more bench (7aaede53),rxcpp
9849,Observer construction,Specific observer construction + as_dynamic,116.442,116.055,117.452,0.95,Windows MSVC,one more bench (7aaede53),rxcpp
9850,OnNext,Specific observer OnNext,0.67516,0.6711,0.683547,0.95,Windows MSVC,one more bench (7aaede53),rxcpp
9851,OnNext,Dynamic observer OnNext,2.0147,2.00619,2.03615,0.95,Windows MSVC,one more bench (7aaede53),rxcpp
9852,Subscriber construction,Make subsriber,348.575,345.342,357.699,0.95,Windows MSVC,one more bench (7aaede53),rxcpp
9853,Subscriber construction,Make copy of subscriber,32.2424,32.1104,32.5838,0.95,Windows MSVC,one more bench (7aaede53),rxcpp
9854,Subscriber construction,Transform subsriber to dynamic,166.305,161.726,173.738,0.95,Windows MSVC,one more bench (7aaede53),rxcpp
9855,Observable subscribe,Specific observable subscribe specific observer,1201.71,1189.86,1252.19,0.95,Windows MSVC,one more bench (7aaede53),rxcpp
9856,Observable subscribe,Specific observable subscribe dynamic observer,1229.48,1214.29,1292.62,0.95,Windows MSVC,one more bench (7aaede53),rxcpp
9857,Observable subscribe,Dynamic observable subscribe specific observer,1393.95,1379.47,1440.11,0.95,Windows MSVC,one more bench (7aaede53),rxcpp
9858,Observable subscribe,Dynamic observable subscribe dynamic observer,1266.43,1249.33,1332.67,0.95,Windows MSVC,one more bench (7aaede53),rxcpp
9859,Observable lift,Specific observable lift specific observer,1238.14,1226.24,1286.86,0.95,Windows MSVC,one more bench (7aaede53),rxcpp
9860,Observable lift,Specific observable lift dynamic observer,1287.25,1274.6,1340.2,0.95,Windows MSVC,one more bench (7aaede53),rxcpp
9861,Observable lift,Dynamic observable lift specific observer,1439.0,1422.89,1498.56,0.95,Windows MSVC,one more bench (7aaede53),rxcpp
9862,Observable lift,Dynamic observable lift dynamic observer,1159.14,1155.81,1166.67,0.95,Windows MSVC,one more bench (7aaede53),rxcpp
9863,Operators,map construction from observable via dot + subscribe,974.103,947.862,1007.21,0.95,Windows MSVC,one more bench (7aaede53),rxcpp
9864,Subscription,composite_subscription create,396.267,381.767,437.267,0.95,Windows MSVC,one more bench (7aaede53),rxcpp
9865,Subscription,composite_subscription add,55.6621,55.5011,55.9563,0.95,Windows MSVC,one more bench (7aaede53),rxcpp
9866,Subscription,composite_subscription unsubscribe,20.3923,20.3502,20.4983,0.95,Windows MSVC,one more bench (7aaede53),rxcpp
9867,Observable construction,Specific observable construction,0.670875,0.669497,0.676323,0.95,Linux GCC,one more bench (7aaede53),rpp
9868,Observable construction,Dynamic observable construction,20.1137,20.0648,20.2432,0.95,Linux GCC,one more bench (7aaede53),rpp
9869,Observable construction,Specific observable construction + as_dynamic,20.6817,20.6559,20.7431,0.95,Linux GCC,one more bench (7aaede53),rpp
9870,Observable subscribe #2,Specific observable subscribe lambda,6.73183,6.71007,6.82362,0.95,Linux GCC,one more bench (7aaede53),rpp
9871,Observable subscribe #2,Dynamic observable subscribe lambda,34.013,33.861,34.3123,0.95,Linux GCC,one more bench (7aaede53),rpp
9872,Observable subscribe #2,Specific observable subscribe specific subscriber,6.02157,6.01837,6.03081,0.95,Linux GCC,one more bench (7aaede53),rpp
9873,Observable subscribe #2,Dynamic observable subscribe specific subscriber,34.1279,33.9131,34.6688,0.95,Linux GCC,one more bench (7aaede53),rpp
9874,Observable subscribe #2,Specific observable subscribe dynamic observer,6.39183,6.37908,6.43788,0.95,Linux GCC,one more bench (7aaede53),rpp
9875,Observable subscribe #2,Dynamic observable subscribe dynamic observer,8.07473,8.05087,8.17261,0.95,Linux GCC,one more bench (7aaede53),rpp
9876,Observer construction,Specific observer construction,0.670827,0.669539,0.675818,0.95,Linux GCC,one more bench (7aaede53),rpp
9877,Observer construction,Dynamic observer construction,20.201,20.1344,20.5008,0.95,Linux GCC,one more bench (7aaede53),rpp
9878,Observer construction,Specific observer construction + as_dynamic,21.2728,21.2091,21.5387,0.95,Linux GCC,one more bench (7aaede53),rpp
9879,OnNext,Specific observer OnNext,0.335514,0.334678,0.339448,0.95,Linux GCC,one more bench (7aaede53),rpp
9880,OnNext,Dynamic observer OnNext,2.00844,2.00763,2.00933,0.95,Linux GCC,one more bench (7aaede53),rpp
9881,Subscriber construction,Make subsriber,24.1064,23.9958,24.2821,0.95,Linux GCC,one more bench (7aaede53),rpp
9882,Subscriber construction,Make copy of subscriber,3.73009,3.72268,3.75949,0.95,Linux GCC,one more bench (7aaede53),rpp
9883,Subscriber construction,Transform subsriber to dynamic,24.8235,24.7623,24.8889,0.95,Linux GCC,one more bench (7aaede53),rpp
9884,Observable subscribe,Specific observable subscribe specific observer,28.3631,28.2548,28.5863,0.95,Linux GCC,one more bench (7aaede53),rpp
9885,Observable subscribe,Specific observable subscribe dynamic observer,37.8331,37.7156,38.1045,0.95,Linux GCC,one more bench (7aaede53),rpp
9886,Observable subscribe,Dynamic observable subscribe specific observer,60.8865,60.5909,61.3654,0.95,Linux GCC,one more bench (7aaede53),rpp
9887,Observable subscribe,Dynamic observable subscribe dynamic observer,39.615,39.5147,39.9047,0.95,Linux GCC,one more bench (7aaede53),rpp
9888,Observable lift,Specific observable lift specific observer,34.9429,34.8169,35.2376,0.95,Linux GCC,one more bench (7aaede53),rpp
9889,Observable lift,Specific observable lift dynamic observer,44.8297,44.7181,45.1081,0.95,Linux GCC,one more bench (7aaede53),rpp
9890,Observable lift,Dynamic observable lift specific observer,69.6875,69.4181,70.2381,0.95,Linux GCC,one more bench (7aaede53),rpp
9891,Observable lift,Dynamic observable lift dynamic observer,59.6473,59.4723,60.1065,0.95,Linux GCC,one more bench (7aaede53),rpp
9892,Operators,map construction from observable via dot + subscribe,21.8994,21.8589,22.0446,0.95,Linux GCC,one more bench (7aaede53),rpp
9893,Subscription,composite_subscription create,23.0668,22.9891,23.2017,0.95,Linux GCC,one more bench (7aaede53),rpp
9894,Subscription,composite_subscription add,1197.75,17.8934,7079.36,0.95,Linux GCC,one more bench (7aaede53),rpp
9895,Subscription,composite_subscription unsubscribe,8.35514,8.3382,8.41804,0.95,Linux GCC,one more bench (7aaede53),rpp
9896,Observable construction,Specific observable construction,0.336309,0.335079,0.3421,0.95,Linux GCC,one more bench (7aaede53),rxcpp
9897,Observable construction,Specific observable construction + as_dynamic,27.1296,27.0591,27.4415,0.95,Linux GCC,one more bench (7aaede53),rxcpp
9898,Observable subscribe #2,Specific observable subscribe lambda,280.015,279.679,281.249,0.95,Linux GCC,one more bench (7aaede53),rxcpp
9899,Observable subscribe #2,Dynamic observable subscribe lambda,338.175,336.839,341.568,0.95,Linux GCC,one more bench (7aaede53),rxcpp
9900,Observable subscribe #2,Specific observable subscribe specific subscriber,277.839,277.145,280.414,0.95,Linux GCC,one more bench (7aaede53),rxcpp
9901,Observable subscribe #2,Dynamic observable subscribe specific subscriber,360.803,359.419,365.261,0.95,Linux GCC,one more bench (7aaede53),rxcpp
9902,Observable subscribe #2,Specific observable subscribe dynamic observer,294.432,293.66,296.55,0.95,Linux GCC,one more bench (7aaede53),rxcpp
9903,Observable subscribe #2,Dynamic observable subscribe dynamic observer,311.6,310.538,314.86,0.95,Linux GCC,one more bench (7aaede53),rxcpp
9904,Observer construction,Specific observer construction,0.335237,0.334639,0.337891,0.95,Linux GCC,one more bench (7aaede53),rxcpp
9905,Observer construction,Dynamic observer construction,22.9463,22.8749,23.1772,0.95,Linux GCC,one more bench (7aaede53),rxcpp
9906,Observer construction,Specific observer construction + as_dynamic,22.421,22.3138,22.6766,0.95,Linux GCC,one more bench (7aaede53),rxcpp
9907,OnNext,Specific observer OnNext,0.336242,0.335293,0.339957,0.95,Linux GCC,one more bench (7aaede53),rxcpp
9908,OnNext,Dynamic observer OnNext,1.77515,1.76535,1.79634,0.95,Linux GCC,one more bench (7aaede53),rxcpp
9909,Subscriber construction,Make subsriber,58.0899,57.8808,58.8059,0.95,Linux GCC,one more bench (7aaede53),rxcpp
9910,Subscriber construction,Make copy of subscriber,4.47492,4.4615,4.51682,0.95,Linux GCC,one more bench (7aaede53),rxcpp
9911,Subscriber construction,Transform subsriber to dynamic,29.7624,29.6679,30.0589,0.95,Linux GCC,one more bench (7aaede53),rxcpp
9912,Observable subscribe,Specific observable subscribe specific observer,329.007,327.391,333.195,0.95,Linux GCC,one more bench (7aaede53),rxcpp
9913,Observable subscribe,Specific observable subscribe dynamic observer,352.232,351.185,354.868,0.95,Linux GCC,one more bench (7aaede53),rxcpp
